SHOP_WEEK,QUANTITY
200701,166
200702,161
200703,145
200704,140
200705,133
200706,130
200707,152
200708,157
200709,180
200710,157
200711,182
200712,144
200713,140
200714,139
200715,159
200716,161
200717,158
200718,153
200719,147
200720,138
200721,157
200722,202
200723,161
200724,169
200725,184
200726,168
200727,181
200728,171
200729,179
200730,135
200731,156
200732,190
200733,169
200734,148
200735,171
200736,169
200737,165
200738,162
200739,171
200740,165
200741,171
200742,163
200743,126
200744,313
200745,193
200746,181
200747,163
200748,179
200749,163
200750,164
200751,195
200752,186
202123,172
202123,321
