SHOP_WEEK,QUANTITY
200701,134
200702,122
200703,130
200704,138
200705,180
200706,130
200707,159
200708,165
200709,147
200710,172
200711,148
200712,161
200713,155
200714,158
200715,153
200716,153
200717,178
200718,151
200719,149
200720,138
200721,152
200722,177
200723,176
200724,149
200725,133
200726,137
200727,148
200728,123
200729,103
200730,136
200731,118
200732,113
200733,120
200734,140
200735,128
200736,109
200737,96
200738,95
200739,124
200740,104
200741,92
200742,110
200743,95
200744,120
200745,161
200746,157
200747,118
200748,114
200749,116
200750,110
200751,105
200752,108
202123,113
202123,194
